aalib 1.4rc5-11
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.1-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.5-1
libxinerama 1.1.3-2
libxkbcommon 0.5.0-1
libxkbcommon-x11 0.5.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.2-2
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.28-3
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
licenses 20140629-1
linux 4.2.5-1
linux-api-headers 4.1.4-1
linux-firmware 20150904.6ebf5d5-1
llvm-libs 3.7.0-5
logrotate 3.9.1-1
lsof 4.89-1
lua 5.3.1-1
lua52 5.2.4-1
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.0-1
lua52-luajson 1.3.3-2
lua52-socket 20151008-1
lvm2 2.02.133-1
lz4 131-1
lzo 2.09-1
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.17-1
make 4.1-1
man-db 2.7.5-1
man-pages 4.02-1
mcpp 2.7.2-5
mdadm 3.3.4-1
mesa 11.0.6-1
mesa-libgl 11.0.6-1
mime-types 9-1
mjpegtools 2.1.0-1
mkinitcpio 18-2
mkinitcpio-busybox 1.21.1-2
mobile-broadband-provider-info 20120614-2
mod_dnssd 0.6-6
mousetweaks 3.12.0-1
mozilla-common 1.4-4
mpfr 3.1.3.p4-1
mpg123 1.22.4-1
mtdev 1.1.5-1
mutter 3.18.2-1
nano 2.4.2-2
nautilus 3.18.2-1
nautilus-sendto 3.8.2-1
ncurses 6.0-3
neon 0.30.1-1
net-tools 1.60.20130531git-1
netctl 1.11-1
nettle 3.1.1-1
networkmanager 1.0.8-1
nfs-utils 1.3.3-3
nfsidmap 0.26-1
nm-connection-editor 1.0.8-1
npth 1.2-1
nspr 4.10.10-1
nss 3.20.1-1
ocl-icd 2.2.7-1
opencore-amr 0.1.3-2
openjpeg 1.5.2-1
openresolv 3.7.1-1
openssh 7.1p1-1
openssl 1.0.2.d-1
opus 1.1-1
orc 0.4.24-1
os-prober 1.70-1
p11-kit 0.23.1-3
package-query-git 1.7.48.g7d1ae43-1
packer 20150808-1
pacman 4.2.1-4
pacman-mirrorlist 20151122-1
pam 1.2.1-3
pambase 20130928-1
pango 1.38.1-1
pangomm 2.38.1-1
parted 3.2-3
patch 2.7.5-1
pciutils 3.3.1-1
pcmciautils 018-7
pcre 8.37-4
perl 5.22.0-1
perl-error 0.17024-1
phpstorm 10.0.1-1
pinentry 0.9.5-2
pixman 0.32.8-1
pkg-config 0.29-1
polkit 0.113-4
poppler 0.37.0-1
poppler-glib 0.37.0-1
popt 1.16-7
potrace 1.12-1
procps-ng 3.3.11-2
psmisc 22.21-3
pulseaudio 7.1-1
pulseaudio-alsa 2-3
pygobject-devel 3.18.2-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
python 3.5.0-2
python-atspi 2.18.0-1
python-chardet 2.3.0-2
python-docker-py 1.5.0-1
python-dockerpty 0.3.4-1
python-docopt 0.6.2-3
python-gobject 3.18.2-1
python-jsonschema 2.5.1-3
python-packaging 15.3-2
python-requests 2.8.1-1
python-setuptools 1:18.5-1
python-six 1.10.0-1
python-texttable 0.8.3-1
python-urllib3 1.12-3
python-websocket-client 0.34.0-1
python-xdg 0.25-3
python-yaml 3.11-3
python2 2.7.10-2
python2-cairo 1.10.0-2
python2-gobject 3.18.2-1
python2-gobject2 2.28.6-12
randrproto 1.5.0-1
readline 6.3.008-3
recode 3.6-8
recordproto 1.14.2-2
redshift 1.10-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.7.93-1
rpcbind 0.2.3-3
rsync 3.1.1-4
rtkit 0.11-5
rtmpdump 20140918-2
ruby 2.2.3-1
run-parts 4.5.1-1
s-nail 14.8.5-1
sbc 1.3-1
schroedinger 1.0.11-2
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sed 4.2.2-3
shadow 4.2.1-3
shared-color-targets 0.1.5-1
shared-mime-info 1.5-1
slang 2.3.0-1
smbclient 4.3.1-1
snappy 1.1.3-1
sound-theme-freedesktop 0.8-2
soundtouch 1.9.0-1
spandsp 0.0.6-1
speech-dispatcher 0.8.3-6
speex 1.2rc2-1
speexdsp 1.2rc3-2
spotify 1.0.17.75-2
sqlite 3.9.2-1
startup-notification 0.12-4
sudo 1.8.15-1
sushi 3.18.0-2
